target_univ
Worcester Polytechnic Institute
Wayne State University
Virginia Polytechnic Institute and State University
University of Wisconsin Madison
University of Washington
University of Utah
University of Texas Dallas
University of Texas Austin
University of Texas Arlington
University of Southern California
University of Pennsylvania
University of North Carolina Charlotte
University of North Carolina Chapel Hill
University of Minnesota Twin Cities
University of Michigan Ann Arbor
University of Massachusetts Amherst
University of Maryland College Park
University of Illinois Urbana-Champaign
University of Illinois Chicago
University of Florida
University of Colorado Boulder
University of Cincinnati
University of California Santa Cruz
University of California Santa Barbara
University of California San Diego
University of California Los Angeles
University of California Irvine
University of California Davis
University of Arizona
Texas A and M University College Station
Syracuse University
SUNY Stony Brook
SUNY Buffalo
Stanford University
Rutgers University New Brunswick/Piscataway
Purdue University
Princeton University
Ohio State University Columbus
Northwestern University
Northeastern University
North Carolina State University
New York University
New Jersey Institute of Technology
Massachusetts Institute of Technology
Johns Hopkins University
Harvard University
Georgia Institute of Technology
George Mason University
Cornell University
Columbia University
Clemson University
Carnegie Mellon University
California Institute of Technology
Arizona State University
